CourseName,Syllabus,Version,Duration,Weeks,Department,Level,Credits,CreatedDate,UpdatedDate,Instructor,InstructorEmail,Category,Language,Mode,Price,Discount,SeatsAvailable,EnrolledCount,Rating,ReviewCount,Country,State,City,Course ID
Data Analytics,"Data Analytics Fundamentals, Advanced Topics, Projects",4,12 weeks,12,EEE,Beginner,7,11-02-2023,24-02-2025,Andrew Martinez,ericmclaughlin@woods.com,Programming,English,Hybrid,144.81,19.18,65,11,4.5,86,India,Kerala,Kochi,CD04-DA
Full Stack Development,"Full Stack Development Fundamentals, Advanced Topics, Projects",1,24 weeks,24,CS,Beginner,2,06-08-2022,18-12-2024,Olivia Rodriguez,ljohnson@davis.com,Engineering,Tamil,Hybrid,307.87,40.36,94,17,3.7,11,India,Andhra Pradesh,Kurnool,CD05-FS
Data Analytics,"Data Analytics Fundamentals, Advanced Topics, Projects",3,12 weeks,12,ECE,Beginner,4,27-03-2024,27-11-2024,Angela Stewart,zmccarty@gmail.com,Computer Science,English,Hybrid,321.82,6.44,24,81,3.1,454,India,Karnataka,Hubli,CD04-DA
Data Analytics,"Data Analytics Fundamentals, Advanced Topics, Projects",1,19 weeks,19,IT,Beginner,2,18-11-2023,25-10-2024,Sheryl Bowman,owensphilip@hotmail.com,Programming,English,Offline,992.43,26.98,64,40,2,131,India,Kerala,Kochi,CD04-DA
Data Science,"Data Science Fundamentals, Advanced Topics, Projects",4,21 weeks,21,CE,Intermediate,4,06-08-2023,12-12-2024,Cynthia Coleman,rossjeremiah@gmail.com,Technology,Tamil,Hybrid,474.83,10.81,96,82,2.1,168,India,Tamil Nadu,Salem,CD01-DS
Cyber Security,"Cyber Security Fundamentals, Advanced Topics, Projects",2,12 weeks,12,IT,Beginner,8,24-11-2023,25-07-2025,Kenneth Love,xtorres@gmail.com,Programming,Tamil,Offline,195.27,31.26,20,22,2.7,52,India,Tamil Nadu,Chennai,CD08-CS
Artificial Intelligence,"Artificial Intelligence Fundamentals, Advanced Topics, Projects",1,12 weeks,12,EEE,Advanced,2,19-11-2022,18-06-2025,Melanie Ruiz,brian73@hotmail.com,Technology,Tamil,Online,928.74,44,62,53,3.9,138,India,Tamil Nadu,Salem,CD02-AI
Full Stack Development,"Full Stack Development Fundamentals, Advanced Topics, Projects",1,18 weeks,18,IT,Advanced,3,20-12-2023,28-04-2025,Mark Henry,vtapia@yahoo.com,Technology,English,Offline,595.28,43.22,32,83,3.9,337,India,Andhra Pradesh,Kurnool,CD05-FS
DevOps,"DevOps Fundamentals, Advanced Topics, Projects",5,16 weeks,16,EEE,Intermediate,3,26-06-2024,20-05-2025,Kathleen Lopez,laurenpreston@garcia.com,Technology,English,Offline,141.7,48.82,81,56,3.4,247,India,Tamil Nadu,Madurai,CD07-DO
DevOps,"DevOps Fundamentals, Advanced Topics, Projects",3,18 weeks,18,IT,Beginner,5,04-03-2023,01-11-2024,John Taylor,melanie88@hotmail.com,Programming,English,Hybrid,475.78,19.96,92,12,1.8,63,India,Andhra Pradesh,Visakhapatnam,CD07-DO
Artificial Intelligence,"Artificial Intelligence Fundamentals, Advanced Topics, Projects",3,13 weeks,13,CS,Advanced,6,18-11-2023,12-11-2024,Lucas Barajas,stuartcruz@callahan.com,Programming,English,Offline,642.21,43.75,56,63,4.2,366,India,Karnataka,Mangalore,CD02-AI
Machine Learning,"Machine Learning Fundamentals, Advanced Topics, Projects",3,17 weeks,17,ECE,Beginner,3,07-05-2024,13-10-2024,John Mccoy,christina32@yahoo.com,Computer Science,English,Hybrid,808.55,17.56,48,52,2.2,441,India,Kerala,Thrissur,CD03-ML
Data Science,"Data Science Fundamentals, Advanced Topics, Projects",3,23 weeks,23,CE,Intermediate,2,02-07-2023,15-02-2025,David Fisher,erikajohnson@yahoo.com,Engineering,Tamil,Offline,952.46,4.79,64,40,4.9,479,India,Tamil Nadu,Madurai,CD01-DS
Cloud Computing,"Cloud Computing Fundamentals, Advanced Topics, Projects",5,17 weeks,17,ME,Intermediate,9,05-12-2023,21-01-2025,Dr. Angela Henson DDS,thomaserica@hotmail.com,Computer Science,Tamil,Hybrid,819.38,22.1,73,88,2.4,399,India,Karnataka,Mysore,CD06-CC
Artificial Intelligence,"Artificial Intelligence Fundamentals, Advanced Topics, Projects",5,19 weeks,19,ME,Beginner,4,21-04-2023,25-06-2025,Thomas Acevedo,matthew28@williams-macias.org,Computer Science,Tamil,Online,396.73,2.71,53,26,3.9,274,India,Andhra Pradesh,Visakhapatnam,CD02-AI
Full Stack Development,"Full Stack Development Fundamentals, Advanced Topics, Projects",4,16 weeks,16,ME,Beginner,8,10-01-2023,15-12-2024,Shawn Cooper,christina83@garrett.com,Computer Science,Tamil,Hybrid,881.36,34.67,84,92,4.3,438,India,Karnataka,Belgaum,CD05-FS
Full Stack Development,"Full Stack Development Fundamentals, Advanced Topics, Projects",3,22 weeks,22,EEE,Beginner,10,19-03-2023,27-04-2025,Amber Barnes,michaelparker@steele-douglas.net,Technology,English,Online,567.73,9.38,89,79,3.1,451,India,Kerala,Thrissur,CD05-FS
DevOps,"DevOps Fundamentals, Advanced Topics, Projects",4,14 weeks,14,EEE,Beginner,6,30-12-2023,31-01-2025,Zachary Fernandez,earl76@hotmail.com,Computer Science,English,Hybrid,402.12,7.47,27,18,1.8,68,India,Andhra Pradesh,Kurnool,CD07-DO
Cyber Security,"Cyber Security Fundamentals, Advanced Topics, Projects",1,13 weeks,13,ME,Beginner,3,15-09-2023,11-01-2025,Erica Mcintosh,terriwright@yahoo.com,Computer Science,English,Online,757.01,15.92,86,62,2.3,165,India,Andhra Pradesh,Kurnool,CD08-CS
Cyber Security,"Cyber Security Fundamentals, Advanced Topics, Projects",4,13 weeks,13,CS,Beginner,10,28-10-2022,15-02-2025,Matthew Garcia,smithadam@webb-wright.info,Computer Science,Tamil,Online,538.82,27.46,55,18,5,448,India,Kerala,Thrissur,CD08-CS
Artificial Intelligence,"Artificial Intelligence Fundamentals, Advanced Topics, Projects",1,19 weeks,19,CS,Beginner,3,29-01-2024,01-06-2025,Ryan Johnson,rodneybush@frank.com,Computer Science,English,Hybrid,663.98,47.74,22,77,2.7,99,India,Kerala,Kozhikode,CD02-AI
DevOps,"DevOps Fundamentals, Advanced Topics, Projects",5,24 weeks,24,CE,Intermediate,2,17-09-2022,05-09-2024,Priscilla Ellis,ftrujillo@turner-johnson.com,Computer Science,Tamil,Online,587.58,8.85,87,72,2.9,342,India,Andhra Pradesh,Nellore,CD07-DO
Data Analytics,"Data Analytics Fundamentals, Advanced Topics, Projects",2,14 weeks,14,ECE,Advanced,9,09-09-2023,14-02-2025,Luke Campbell,fadams@hotmail.com,Engineering,English,Hybrid,395.58,5.83,100,93,1.6,164,India,Karnataka,Mysore,CD04-DA
Cloud Computing,"Cloud Computing Fundamentals, Advanced Topics, Projects",3,13 weeks,13,EEE,Intermediate,6,17-06-2023,13-10-2024,Carla Lang,kennedylisa@gmail.com,Programming,Tamil,Offline,755.64,15.89,87,13,1.3,136,India,Tamil Nadu,Chennai,CD06-CC
Automation Testing,"Automation Testing Fundamentals, Advanced Topics, Projects",4,21 weeks,21,CE,Beginner,8,30-09-2022,06-12-2024,Mr. David Peterson,laurenwhite@yahoo.com,Technology,Tamil,Offline,230.86,16.38,27,82,2.9,372,India,Kerala,Alappuzha,CD09-AT
Full Stack Development,"Full Stack Development Fundamentals, Advanced Topics, Projects",4,18 weeks,18,ECE,Intermediate,7,23-02-2023,24-10-2024,Amy Sandoval,wcantu@yahoo.com,Programming,Tamil,Offline,876.44,22.11,21,81,4.2,304,India,Kerala,Kochi,CD05-FS
Automation Testing,"Automation Testing Fundamentals, Advanced Topics, Projects",2,23 weeks,23,ECE,Intermediate,7,28-03-2024,30-07-2024,Mr. Scott Ward DDS,jeffrey47@yahoo.com,Programming,Tamil,Offline,535.2,31.95,59,32,3.3,200,India,Karnataka,Mysore,CD09-AT
DevOps,"DevOps Fundamentals, Advanced Topics, Projects",1,19 weeks,19,CS,Advanced,2,12-01-2023,05-01-2025,Nicole Moran,joemoore@yahoo.com,Programming,English,Online,979.73,3.68,51,20,1,154,India,Karnataka,Hubli,CD07-DO
Full Stack Development,"Full Stack Development Fundamentals, Advanced Topics, Projects",5,18 weeks,18,IT,Intermediate,4,02-10-2022,12-07-2025,Kimberly Hamilton,matthew33@mathis.net,Computer Science,English,Hybrid,881.28,24.08,69,55,1.8,159,India,Andhra Pradesh,Vijayawada,CD05-FS
Data Science,"Data Science Fundamentals, Advanced Topics, Projects",1,17 weeks,17,EEE,Intermediate,10,22-09-2022,29-11-2024,Stephen Collins,spencerbowman@gmail.com,Programming,English,Offline,698.53,37.61,45,15,4,378,India,Kerala,Kozhikode,CD01-DS
Cyber Security,"Cyber Security Fundamentals, Advanced Topics, Projects",5,22 weeks,22,IT,Intermediate,9,10-11-2023,19-06-2025,Amber Petersen,wandamccullough@franklin-brown.com,Programming,English,Hybrid,295.66,4.59,27,92,1.1,340,India,Kerala,Kochi,CD08-CS
Automation Testing,"Automation Testing Fundamentals, Advanced Topics, Projects",3,23 weeks,23,EEE,Advanced,3,20-10-2022,20-02-2025,Dominic Horton,hmcclure@castillo-lindsey.com,Technology,Tamil,Hybrid,875.76,36.21,74,38,3.8,367,India,Tamil Nadu,Coimbatore,CD09-AT
Cyber Security,"Cyber Security Fundamentals, Advanced Topics, Projects",2,20 weeks,20,EEE,Advanced,5,29-04-2024,19-07-2025,Deanna Johnson,greerdanielle@carrillo.biz,Programming,English,Offline,635.25,47.45,100,93,4.4,85,India,Kerala,Alappuzha,CD08-CS
DevOps,"DevOps Fundamentals, Advanced Topics, Projects",2,18 weeks,18,ECE,Beginner,6,06-04-2024,18-05-2025,Luis Boyd,nmata@tanner.net,Computer Science,Tamil,Offline,438.8,46.52,80,30,1.7,296,India,Karnataka,Bangalore,CD07-DO
Automation Testing,"Automation Testing Fundamentals, Advanced Topics, Projects",5,21 weeks,21,IT,Intermediate,5,19-09-2022,10-03-2025,Marie Phelps,gouldmartin@yahoo.com,Programming,English,Offline,620.86,41.98,32,88,4.4,144,India,Andhra Pradesh,Vijayawada,CD09-AT
Artificial Intelligence,"Artificial Intelligence Fundamentals, Advanced Topics, Projects",2,14 weeks,14,ECE,Beginner,6,12-09-2023,30-06-2025,Monica Jones,qbrown@miller.com,Technology,English,Online,161.26,14.99,72,82,2.7,311,India,Tamil Nadu,Salem,CD02-AI
Artificial Intelligence,"Artificial Intelligence Fundamentals, Advanced Topics, Projects",1,15 weeks,15,EEE,Advanced,7,17-02-2024,16-11-2024,Julie Blair,grahamkelly@mitchell-grant.net,Engineering,English,Online,945.18,37.76,89,22,4.7,294,India,Karnataka,Mysore,CD02-AI
Artificial Intelligence,"Artificial Intelligence Fundamentals, Advanced Topics, Projects",1,22 weeks,22,EEE,Beginner,1,06-06-2024,18-09-2024,Paige Hampton,swansonricky@young-macias.net,Computer Science,Tamil,Online,701.78,12.83,76,86,1.7,413,India,Karnataka,Mysore,CD02-AI
Data Science,"Data Science Fundamentals, Advanced Topics, Projects",4,14 weeks,14,ECE,Intermediate,3,31-10-2023,27-12-2024,Daniel Shepherd,nicoleblack@harris.org,Technology,English,Hybrid,244.87,43.18,25,87,1,294,India,Karnataka,Bangalore,CD01-DS
DevOps,"DevOps Fundamentals, Advanced Topics, Projects",1,17 weeks,17,ECE,Intermediate,7,21-04-2023,12-01-2025,Derek Jacobs,tammygilbert@hall.com,Computer Science,English,Online,582.61,28.95,33,14,3.9,396,India,Tamil Nadu,Salem,CD07-DO
Data Analytics,"Data Analytics Fundamentals, Advanced Topics, Projects",3,18 weeks,18,EEE,Advanced,3,10-10-2022,21-09-2024,Juan Rogers,shannondebra@johnston-clark.com,Programming,English,Online,881.22,23.49,27,88,3.2,38,India,Kerala,Alappuzha,CD04-DA
Full Stack Development,"Full Stack Development Fundamentals, Advanced Topics, Projects",5,14 weeks,14,IT,Advanced,2,05-04-2023,26-09-2024,Charles Rodriguez,patrick27@yahoo.com,Programming,Tamil,Hybrid,869.96,15.64,74,0,4.8,222,India,Kerala,Kozhikode,CD05-FS
Artificial Intelligence,"Artificial Intelligence Fundamentals, Advanced Topics, Projects",5,12 weeks,12,EEE,Advanced,6,28-01-2023,29-11-2024,Ashley White,chaneyjeffrey@bowen.biz,Technology,English,Online,169.11,35.18,81,100,2.7,436,India,Tamil Nadu,Madurai,CD02-AI
DevOps,"DevOps Fundamentals, Advanced Topics, Projects",1,21 weeks,21,CS,Advanced,10,17-06-2024,24-10-2024,Crystal Crane,uhorton@hotmail.com,Technology,English,Hybrid,403.51,40.92,82,71,1.6,147,India,Kerala,Thiruvananthapuram,CD07-DO
Full Stack Development,"Full Stack Development Fundamentals, Advanced Topics, Projects",1,19 weeks,19,ECE,Advanced,4,03-02-2023,06-07-2025,Christopher Morales,davidmiranda@berry.com,Technology,English,Offline,583.79,7.13,82,41,2.1,57,India,Andhra Pradesh,Kurnool,CD05-FS
Data Science,"Data Science Fundamentals, Advanced Topics, Projects",3,24 weeks,24,ME,Intermediate,6,16-11-2022,19-11-2024,Allison Jones,boylejohn@yahoo.com,Technology,Tamil,Hybrid,640.39,30.28,20,47,5,262,India,Kerala,Thiruvananthapuram,CD01-DS
Cyber Security,"Cyber Security Fundamentals, Advanced Topics, Projects",4,15 weeks,15,CE,Intermediate,2,27-09-2022,17-05-2025,Clifford Glenn,carlosjohnson@hotmail.com,Technology,Tamil,Hybrid,501.28,24.47,71,24,1.6,127,India,Tamil Nadu,Trichy,CD08-CS
Cyber Security,"Cyber Security Fundamentals, Advanced Topics, Projects",4,14 weeks,14,ECE,Advanced,3,29-04-2024,26-04-2025,Elizabeth Wilson,ftran@gallagher.com,Programming,English,Hybrid,724.47,48.74,44,78,1.9,376,India,Tamil Nadu,Salem,CD08-CS
Automation Testing,"Automation Testing Fundamentals, Advanced Topics, Projects",3,23 weeks,23,EEE,Advanced,6,06-07-2024,26-05-2025,Lauren Quinn,fsingh@phillips-mitchell.com,Computer Science,Tamil,Hybrid,103.06,48.32,47,35,4.6,219,India,Tamil Nadu,Trichy,CD09-AT
Machine Learning,"Machine Learning Fundamentals, Advanced Topics, Projects",3,12 weeks,12,CE,Beginner,4,17-05-2024,15-03-2025,Melissa Baker,emily07@gmail.com,Technology,Tamil,Hybrid,384.69,31.56,21,64,4.7,76,India,Tamil Nadu,Chennai,CD03-ML
Cloud Computing,"Cloud Computing Fundamentals, Advanced Topics, Projects",1,24 weeks,24,CS,Intermediate,10,17-08-2022,10-10-2024,Sylvia Fernandez,mrogers@yahoo.com,Engineering,Tamil,Online,393.32,46.14,65,24,4.1,106,India,Karnataka,Hubli,CD06-CC
Automation Testing,"Automation Testing Fundamentals, Advanced Topics, Projects",2,15 weeks,15,CE,Beginner,10,27-05-2024,05-11-2024,Karen Garner,collinspatricia@yahoo.com,Engineering,English,Hybrid,543.05,30.62,77,1,4.5,284,India,Andhra Pradesh,Kurnool,CD09-AT
Machine Learning,"Machine Learning Fundamentals, Advanced Topics, Projects",5,19 weeks,19,CS,Beginner,5,03-01-2024,13-09-2024,Wesley Jones,dshea@yahoo.com,Technology,Tamil,Online,981.48,31.81,86,88,1.6,473,India,Karnataka,Mysore,CD03-ML
Artificial Intelligence,"Artificial Intelligence Fundamentals, Advanced Topics, Projects",4,21 weeks,21,CS,Beginner,6,15-05-2023,22-05-2025,Casey Perez,twilliams@hotmail.com,Engineering,English,Offline,475.66,0.36,33,62,4.3,400,India,Karnataka,Mysore,CD02-AI
Data Analytics,"Data Analytics Fundamentals, Advanced Topics, Projects",5,22 weeks,22,ECE,Intermediate,3,18-11-2022,07-04-2025,Isabella Ramirez,dmiller@sims-jensen.com,Technology,Tamil,Offline,648.3,45.03,90,18,3.1,169,India,Tamil Nadu,Madurai,CD04-DA
Automation Testing,"Automation Testing Fundamentals, Advanced Topics, Projects",4,23 weeks,23,IT,Advanced,6,16-12-2022,21-05-2025,Dr. Carly Bennett,dcastillo@rodriguez.com,Computer Science,Tamil,Hybrid,639.2,26.41,64,41,3.4,285,India,Kerala,Kochi,CD09-AT
Data Science,"Data Science Fundamentals, Advanced Topics, Projects",3,17 weeks,17,CS,Intermediate,9,13-01-2024,17-04-2025,Thomas Bailey,christy96@adams-burch.com,Technology,Tamil,Online,749.59,24.63,82,51,1.1,471,India,Kerala,Thrissur,CD01-DS
Full Stack Development,"Full Stack Development Fundamentals, Advanced Topics, Projects",5,16 weeks,16,IT,Intermediate,6,29-04-2024,07-07-2025,Deborah Mccarthy,adam09@woodard.com,Programming,Tamil,Offline,956.53,30.78,40,11,4,432,India,Karnataka,Mysore,CD05-FS
Cloud Computing,"Cloud Computing Fundamentals, Advanced Topics, Projects",2,23 weeks,23,ECE,Advanced,2,07-05-2023,28-06-2025,Amy Lopez,gspencer@munoz.biz,Programming,Tamil,Offline,964.88,37.81,82,28,3.4,122,India,Karnataka,Bangalore,CD06-CC
Full Stack Development,"Full Stack Development Fundamentals, Advanced Topics, Projects",5,18 weeks,18,ME,Intermediate,9,29-03-2024,01-12-2024,Randy Owens,nicoleharrison@clark-deleon.biz,Programming,English,Offline,543.8,4.61,51,37,4.5,292,India,Kerala,Thrissur,CD05-FS
Artificial Intelligence,"Artificial Intelligence Fundamentals, Advanced Topics, Projects",3,12 weeks,12,CS,Intermediate,3,07-10-2022,05-12-2024,Michelle Martinez,robertmckenzie@oliver.net,Technology,English,Offline,958.95,35.99,44,73,2.9,266,India,Andhra Pradesh,Kurnool,CD02-AI
Artificial Intelligence,"Artificial Intelligence Fundamentals, Advanced Topics, Projects",1,24 weeks,24,EEE,Intermediate,3,04-04-2024,30-04-2025,Christopher Powell,melendezbrian@mcclain.com,Technology,English,Hybrid,853.12,27.48,88,64,3.6,260,India,Tamil Nadu,Salem,CD02-AI
Machine Learning,"Machine Learning Fundamentals, Advanced Topics, Projects",4,21 weeks,21,ECE,Beginner,10,04-08-2022,16-12-2024,Shannon Nguyen,monicaperez@moyer.com,Technology,English,Online,500.82,5.71,95,67,2.2,77,India,Kerala,Thrissur,CD03-ML
Machine Learning,"Machine Learning Fundamentals, Advanced Topics, Projects",5,17 weeks,17,CE,Beginner,6,18-05-2024,17-05-2025,Tina Allen,janiceclark@hotmail.com,Engineering,English,Offline,915.66,20.67,96,97,1.5,482,India,Kerala,Kozhikode,CD03-ML
Artificial Intelligence,"Artificial Intelligence Fundamentals, Advanced Topics, Projects",4,16 weeks,16,ME,Advanced,9,09-09-2023,21-01-2025,Diane Long,tvazquez@quinn-adkins.com,Technology,English,Online,679.84,16.43,25,16,1.4,99,India,Karnataka,Bangalore,CD02-AI
Data Science,"Data Science Fundamentals, Advanced Topics, Projects",5,23 weeks,23,ECE,Advanced,8,17-05-2023,18-09-2024,Scott Shepherd,snowdouglas@hughes.info,Computer Science,English,Hybrid,639.14,7.68,22,62,4.6,296,India,Tamil Nadu,Salem,CD01-DS
Data Analytics,"Data Analytics Fundamentals, Advanced Topics, Projects",5,14 weeks,14,EEE,Advanced,6,30-12-2022,12-06-2025,Linda Ortiz,mhooper@hotmail.com,Engineering,English,Hybrid,102.56,19.49,77,10,3.6,417,India,Andhra Pradesh,Guntur,CD04-DA
Artificial Intelligence,"Artificial Intelligence Fundamentals, Advanced Topics, Projects",2,17 weeks,17,ME,Intermediate,10,22-04-2023,25-03-2025,James Nichols,jessicamurray@kelly.info,Computer Science,Tamil,Offline,788.24,4,91,58,3.2,157,India,Andhra Pradesh,Guntur,CD02-AI
Data Analytics,"Data Analytics Fundamentals, Advanced Topics, Projects",2,16 weeks,16,IT,Intermediate,2,21-09-2022,06-08-2024,Tyler Young,kyliebell@hotmail.com,Programming,Tamil,Hybrid,173.59,30.91,50,65,3.5,465,India,Andhra Pradesh,Guntur,CD04-DA
Data Analytics,"Data Analytics Fundamentals, Advanced Topics, Projects",5,18 weeks,18,ME,Intermediate,9,29-01-2024,05-08-2024,Rebecca Jones,riddlejocelyn@hotmail.com,Technology,English,Online,733.4,44.21,40,69,3.9,450,India,Tamil Nadu,Chennai,CD04-DA
DevOps,"DevOps Fundamentals, Advanced Topics, Projects",1,22 weeks,22,CE,Advanced,10,12-09-2022,26-01-2025,Kenneth Wilson,gonzalezerica@bennett.com,Engineering,Tamil,Hybrid,726.94,29.39,86,14,3.6,16,India,Kerala,Thrissur,CD07-DO
Artificial Intelligence,"Artificial Intelligence Fundamentals, Advanced Topics, Projects",1,21 weeks,21,ME,Advanced,6,09-01-2023,20-12-2024,Robert Martinez,fsnyder@hotmail.com,Programming,English,Offline,618.19,46.81,26,68,5,312,India,Andhra Pradesh,Kurnool,CD02-AI
Artificial Intelligence,"Artificial Intelligence Fundamentals, Advanced Topics, Projects",1,13 weeks,13,CE,Beginner,5,14-04-2024,26-01-2025,Carlos Armstrong,whitneymoore@williams.com,Computer Science,Tamil,Offline,245,18.59,81,11,4.5,129,India,Andhra Pradesh,Visakhapatnam,CD02-AI
Data Science,"Data Science Fundamentals, Advanced Topics, Projects",3,23 weeks,23,ECE,Intermediate,6,18-05-2023,02-06-2025,Teresa Clark,kelseyscott@gmail.com,Technology,Tamil,Online,456.91,47.88,20,65,4.7,106,India,Kerala,Kochi,CD01-DS
DevOps,"DevOps Fundamentals, Advanced Topics, Projects",1,15 weeks,15,CS,Beginner,6,18-02-2024,05-09-2024,Samantha Johnson,pearsonnicholas@hotmail.com,Technology,Tamil,Offline,282.03,29.67,58,9,4.2,352,India,Andhra Pradesh,Kurnool,CD07-DO
Machine Learning,"Machine Learning Fundamentals, Advanced Topics, Projects",4,15 weeks,15,IT,Advanced,6,09-07-2024,13-04-2025,Robert Perez,bradleykeith@nguyen.biz,Computer Science,Tamil,Offline,213.79,6.91,76,51,2.2,251,India,Tamil Nadu,Salem,CD03-ML
Cloud Computing,"Cloud Computing Fundamentals, Advanced Topics, Projects",2,23 weeks,23,CS,Advanced,6,17-01-2024,03-07-2025,Penny Anderson,harmonvictor@shaw.net,Technology,Tamil,Offline,537.83,21.28,59,76,3.1,6,India,Tamil Nadu,Madurai,CD06-CC
Automation Testing,"Automation Testing Fundamentals, Advanced Topics, Projects",2,18 weeks,18,CE,Advanced,3,10-03-2024,13-06-2025,Nathaniel Cruz,rosekaitlyn@adams.com,Programming,Tamil,Online,339.96,21.44,24,33,4.5,129,India,Kerala,Alappuzha,CD09-AT
Full Stack Development,"Full Stack Development Fundamentals, Advanced Topics, Projects",1,20 weeks,20,ECE,Beginner,5,05-12-2022,29-05-2025,Kevin Meyers,gonzaleslisa@gmail.com,Programming,English,Offline,227.29,16.5,69,97,1.2,89,India,Tamil Nadu,Salem,CD05-FS
Data Analytics,"Data Analytics Fundamentals, Advanced Topics, Projects",5,15 weeks,15,IT,Beginner,5,01-10-2022,18-03-2025,Kerry Smith,bishopnicholas@gmail.com,Engineering,English,Offline,474.25,44.29,33,70,4.9,117,India,Karnataka,Mangalore,CD04-DA
Automation Testing,"Automation Testing Fundamentals, Advanced Topics, Projects",2,13 weeks,13,CE,Beginner,9,05-08-2022,15-05-2025,Elizabeth Wood,knappsusan@herman-wagner.biz,Engineering,English,Hybrid,180.73,37.57,92,90,3.9,30,India,Tamil Nadu,Salem,CD09-AT
Data Analytics,"Data Analytics Fundamentals, Advanced Topics, Projects",2,18 weeks,18,CS,Beginner,10,04-10-2022,16-06-2025,Abigail Wells,megan46@dixon.com,Engineering,Tamil,Offline,201.89,9.52,27,71,1.7,220,India,Andhra Pradesh,Guntur,CD04-DA
DevOps,"DevOps Fundamentals, Advanced Topics, Projects",3,24 weeks,24,EEE,Intermediate,6,15-09-2023,09-05-2025,Lisa Carter,nbennett@hotmail.com,Technology,English,Online,191.09,48.33,82,74,4.9,401,India,Kerala,Kochi,CD07-DO
Data Science,"Data Science Fundamentals, Advanced Topics, Projects",2,22 weeks,22,ME,Intermediate,8,20-05-2023,06-10-2024,Jonathan Williams,whernandez@yahoo.com,Technology,English,Hybrid,770.85,39.46,42,48,4.6,2,India,Andhra Pradesh,Kurnool,CD01-DS
DevOps,"DevOps Fundamentals, Advanced Topics, Projects",1,15 weeks,15,ECE,Advanced,7,08-06-2023,12-07-2025,Charles Aguilar,nicholas30@gmail.com,Engineering,English,Offline,252.41,10.43,38,86,2.4,325,India,Andhra Pradesh,Kurnool,CD07-DO
Data Science,"Data Science Fundamentals, Advanced Topics, Projects",1,16 weeks,16,IT,Advanced,6,14-10-2023,10-09-2024,James Cowan,bassdaniel@davis.biz,Engineering,Tamil,Hybrid,232.29,24.37,70,49,4.2,215,India,Tamil Nadu,Salem,CD01-DS
DevOps,"DevOps Fundamentals, Advanced Topics, Projects",2,16 weeks,16,EEE,Beginner,8,30-04-2024,18-02-2025,Michael Thompson,cynthia73@hotmail.com,Engineering,English,Hybrid,171.09,31.6,91,14,4,163,India,Kerala,Kochi,CD07-DO
Data Analytics,"Data Analytics Fundamentals, Advanced Topics, Projects",4,13 weeks,13,IT,Beginner,6,02-01-2024,11-04-2025,Rachel Schmidt,millsmichael@gmail.com,Technology,Tamil,Hybrid,813.82,13.99,41,40,2.3,475,India,Tamil Nadu,Trichy,CD04-DA
Data Science,"Data Science Fundamentals, Advanced Topics, Projects",4,24 weeks,24,CE,Advanced,8,19-11-2023,12-05-2025,Mathew Harris,smithaaron@kim.com,Computer Science,Tamil,Offline,993.49,16.87,52,13,1.7,320,India,Tamil Nadu,Coimbatore,CD01-DS
Data Analytics,"Data Analytics Fundamentals, Advanced Topics, Projects",4,17 weeks,17,EEE,Intermediate,4,06-09-2023,11-08-2024,Renee Booker,lhernandez@gmail.com,Engineering,Tamil,Offline,993.62,44.52,55,77,3.1,54,India,Kerala,Kozhikode,CD04-DA
Artificial Intelligence,"Artificial Intelligence Fundamentals, Advanced Topics, Projects",3,23 weeks,23,CS,Intermediate,4,16-11-2023,13-08-2024,Aaron Stevens,crystal56@gmail.com,Computer Science,Tamil,Hybrid,999.63,41.34,89,39,4.8,63,India,Tamil Nadu,Chennai,CD02-AI
Cloud Computing,"Cloud Computing Fundamentals, Advanced Topics, Projects",2,24 weeks,24,ECE,Beginner,3,10-02-2023,20-06-2025,Victoria Martinez,ronald28@garcia.com,Technology,Tamil,Offline,725.69,47.18,91,14,4.4,34,India,Kerala,Thrissur,CD06-CC
Data Analytics,"Data Analytics Fundamentals, Advanced Topics, Projects",1,19 weeks,19,ECE,Advanced,6,28-06-2023,04-03-2025,Michael Hernandez,thomasdurham@castro-norman.net,Computer Science,Tamil,Offline,848.4,14.21,70,11,2.7,359,India,Karnataka,Belgaum,CD04-DA
DevOps,"DevOps Fundamentals, Advanced Topics, Projects",1,21 weeks,21,EEE,Intermediate,8,10-08-2023,03-07-2025,Joseph Brown,zlevine@gmail.com,Programming,English,Online,656.85,33.42,40,37,2.4,361,India,Kerala,Thrissur,CD07-DO
DevOps,"DevOps Fundamentals, Advanced Topics, Projects",4,23 weeks,23,ECE,Advanced,7,13-07-2023,29-08-2024,Connie Huff,angelicaanderson@hendricks.net,Computer Science,Tamil,Offline,476.95,44.6,66,45,4.2,161,India,Kerala,Kochi,CD07-DO
Cyber Security,"Cyber Security Fundamentals, Advanced Topics, Projects",1,20 weeks,20,CS,Beginner,5,14-01-2024,14-04-2025,Rhonda Peterson,bmartinez@gmail.com,Technology,Tamil,Online,219.67,15.97,53,53,2.8,5,India,Karnataka,Bangalore,CD08-CS
Data Science,"Data Science Fundamentals, Advanced Topics, Projects",4,21 weeks,21,EEE,Beginner,8,01-06-2023,15-08-2024,Tracey Wagner,kaitlyn44@dunn.com,Programming,Tamil,Hybrid,322.58,40.86,77,27,3.7,141,India,Tamil Nadu,Trichy,CD01-DS
